Date,title,compound_polarity
2020-04-02 14:17:51+00:00,One hedge fund has surged 36% this year by betting against cruise lines and airlines depleted by coronavirus,0.6124
2020-04-02 20:42:31+00:00,U.S. markets shrug off record unemployment numbers as tech shares rise,0.0772
2020-04-03 20:14:05+00:00,Stocks drop as unemployment spikes,-0.7096
2020-04-06 20:16:40+00:00,American stocks rally sharply on COVID-19 optimism as earnings loom,0.6808
2020-04-07 13:38:32+00:00,Stocks rise following yesterday’s sharp rally,0.6124
2020-04-08 20:55:46+00:00,Stocks rally again as new COVID-19 cases show signs of slowing,0.25
2020-04-08 23:03:29+00:00,"Dow Jones Futures: Coronavirus Stock Market Rally Lacks Two Key Qualities; Analyzing Apple, Amazon, Microsoft, Nvidia - Investor's Business Daily",0.5719
2020-04-13 14:05:34+00:00,Equity markets muted in early trade after monster rally - BNNBloomberg.ca,0.4588
2020-04-14 19:03:15+00:00,"Dow Jones Surges 500 Points, Helped By Apple's Bullish Move; 3 Top Stocks Join Breakout Ranks - Investor's Business Daily",0.9186
2020-04-14 19:54:19+00:00,Turning my obsession in the stock market into a side project,-0.34
2020-04-14 20:53:36+00:00,The odd reality of today’s stock market,-0.3182
2020-04-17 13:32:50+00:00,Dow surges 500 points on optimism around US economic reopening plan,0.8176
2020-04-21 20:32:26+00:00,Software companies give back ground after an impressive rebound,0.5106
2020-04-22 13:47:21+00:00,Live Market Watch: Dow reacts to coronavirus efforts | 4/22/2020 - Fox Business,0.0
2020-04-23 21:14:00+00:00,S&P 500 slips after report on coronavirus drug trial - Kitco NEWS,0.0
2020-04-24 10:00:00+00:00,An Oral History of the Day Everything Changed,0.0
2020-04-27 15:18:31+00:00,"The Fed's 'QE4ever' stimulus will push stocks to record highs in 2021, says one of Wall Street's biggest bulls",0.0
2020-04-27 19:29:01+00:00,"Dow Jones, US Stocks Rise As Countries Begin To Reopen Economies - Investor's Business Daily",0.25
2020-04-28 16:16:29+00:00,"Dow Jones 378-Point Intraday Gain Fades, But 3M A Bright Spot; Netflix, Tesla Weigh On Nasdaq - Investor's Business Daily",0.7096
2020-04-30 20:10:35+00:00,"Dow, S&P 500 post best month since 1987",0.6369
